"sector","spatial_scale","eco_model","climate_model","experiment_climate","output_variable","percent_diff"
"marine-fishery_global","global","macroecological","ipsl-cm6a-lr","ssp585","tcb",-26.4154807114407
"marine-fishery_global","global","macroecological","ipsl-cm6a-lr","ssp585","tcblog10",-26.4154807061535
"marine-fishery_global","global","zoomss","gfdl-esm4","ssp126","tcb",-4.4622586152147
"marine-fishery_global","global","zoomss","gfdl-esm4","ssp126","tcblog10",-4.70109310945595
"marine-fishery_global","global","zoomss","gfdl-esm4","ssp585","tcb",-14.198072192684
"marine-fishery_global","global","zoomss","gfdl-esm4","ssp585","tcblog10",-14.626026787035
"marine-fishery_global","global","zoomss","ipsl-cm6a-lr","ssp126","tcb",-2.23736179706162
"marine-fishery_global","global","zoomss","ipsl-cm6a-lr","ssp126","tcblog10",-2.41150707714471
"marine-fishery_global","global","zoomss","ipsl-cm6a-lr","ssp585","tcb",-13.2178839886548
"marine-fishery_global","global","zoomss","ipsl-cm6a-lr","ssp585","tcblog10",-13.8986114881962
