"sector","years","spatial_scale","eco_model","climate_model","experiment_climate","output_variable","percent_diff"
"agriculture",2036,"global","crover","gfdl-esm4","ssp126","rice",0.0136976701149598
"agriculture",2037,"global","crover","gfdl-esm4","ssp126","maize",0.434974285334868
"agriculture",2037,"global","crover","gfdl-esm4","ssp126","wheat",9.12485214107186
"agriculture",2037,"global","crover","gfdl-esm4","ssp126","soybean",14.5056881627505
"agriculture",2037,"global","crover","gfdl-esm4","ssp126","rice",1.21258970220671
"agriculture",2038,"global","crover","gfdl-esm4","ssp126","maize",0.158027713163377
"agriculture",2038,"global","crover","gfdl-esm4","ssp126","wheat",4.83854691543651
"agriculture",2038,"global","crover","gfdl-esm4","ssp126","soybean",14.461141030494
"agriculture",2038,"global","crover","gfdl-esm4","ssp126","rice",1.49014948183299
"agriculture",2039,"global","crover","gfdl-esm4","ssp126","maize",-1.8959568507068
"agriculture",2039,"global","crover","gfdl-esm4","ssp126","wheat",5.19591340256436
"agriculture",2039,"global","crover","gfdl-esm4","ssp126","soybean",5.46810907568092
"agriculture",2039,"global","crover","gfdl-esm4","ssp126","rice",2.28464161951915
"agriculture",2040,"global","crover","gfdl-esm4","ssp126","maize",0.199245423103293
"agriculture",2040,"global","crover","gfdl-esm4","ssp126","wheat",9.05650753005859
"agriculture",2040,"global","crover","gfdl-esm4","ssp126","soybean",9.48148267786586
"agriculture",2040,"global","crover","gfdl-esm4","ssp126","rice",7.60320107961706
"agriculture",2041,"global","crover","gfdl-esm4","ssp126","maize",-2.71524061470498
"agriculture",2041,"global","crover","gfdl-esm4","ssp126","wheat",3.877082534128
"agriculture",2041,"global","crover","gfdl-esm4","ssp126","soybean",8.88858913570494
"agriculture",2041,"global","crover","gfdl-esm4","ssp126","rice",1.31569269193195
"agriculture",2042,"global","crover","gfdl-esm4","ssp126","maize",0.898559010177977
"agriculture",2042,"global","crover","gfdl-esm4","ssp126","wheat",5.81301326641446
"agriculture",2042,"global","crover","gfdl-esm4","ssp126","soybean",12.7796438791298
"agriculture",2042,"global","crover","gfdl-esm4","ssp126","rice",4.37210473543956
"agriculture",2043,"global","crover","gfdl-esm4","ssp126","maize",-0.584824366628851
"agriculture",2043,"global","crover","gfdl-esm4","ssp126","wheat",9.10555758669269
"agriculture",2043,"global","crover","gfdl-esm4","ssp126","soybean",15.7770330672263
"agriculture",2043,"global","crover","gfdl-esm4","ssp126","rice",4.74999013242506
"agriculture",2044,"global","crover","gfdl-esm4","ssp126","maize",0.288814924470173
"agriculture",2044,"global","crover","gfdl-esm4","ssp126","wheat",12.5150746096311
"agriculture",2044,"global","crover","gfdl-esm4","ssp126","soybean",12.4032136318642
"agriculture",2044,"global","crover","gfdl-esm4","ssp126","rice",6.05008844022954
"agriculture",2045,"global","crover","gfdl-esm4","ssp126","maize",0.369393814038086
"agriculture",2045,"global","crover","gfdl-esm4","ssp126","wheat",7.92096562097927
"agriculture",2045,"global","crover","gfdl-esm4","ssp126","soybean",12.4285514090087
"agriculture",2045,"global","crover","gfdl-esm4","ssp126","rice",0.7928495859671
"agriculture",2046,"global","crover","gfdl-esm4","ssp126","maize",-1.91599961819324
"agriculture",2046,"global","crover","gfdl-esm4","ssp126","wheat",2.07130994559033
"agriculture",2046,"global","crover","gfdl-esm4","ssp126","soybean",9.20056207351335
"agriculture",2046,"global","crover","gfdl-esm4","ssp126","rice",1.70261439264006
"agriculture",2047,"global","crover","gfdl-esm4","ssp126","maize",-1.98417325582967
"agriculture",2047,"global","crover","gfdl-esm4","ssp126","wheat",3.92049845296723
"agriculture",2047,"global","crover","gfdl-esm4","ssp126","soybean",9.65690319417332
"agriculture",2047,"global","crover","gfdl-esm4","ssp126","rice",5.55248912610056
"agriculture",2048,"global","crover","gfdl-esm4","ssp126","maize",0.707550192104407
"agriculture",2048,"global","crover","gfdl-esm4","ssp126","wheat",9.03183881829858
"agriculture",2048,"global","crover","gfdl-esm4","ssp126","soybean",11.4953390828278
"agriculture",2048,"global","crover","gfdl-esm4","ssp126","rice",4.71718780101708
"agriculture",2049,"global","crover","gfdl-esm4","ssp126","maize",-0.67407106540987
"agriculture",2049,"global","crover","gfdl-esm4","ssp126","wheat",6.58827288608347
"agriculture",2049,"global","crover","gfdl-esm4","ssp126","soybean",12.7933352065549
"agriculture",2049,"global","crover","gfdl-esm4","ssp126","rice",2.08985593360021
"agriculture",2050,"global","crover","gfdl-esm4","ssp126","maize",-2.34053462446476
"agriculture",2050,"global","crover","gfdl-esm4","ssp126","wheat",8.24449959090534
"agriculture",2050,"global","crover","gfdl-esm4","ssp126","soybean",9.07563446593802
"agriculture",2050,"global","crover","gfdl-esm4","ssp126","rice",2.53643079338578
"agriculture",2051,"global","crover","gfdl-esm4","ssp126","maize",1.20268612120936
"agriculture",2051,"global","crover","gfdl-esm4","ssp126","wheat",5.28509747316098
"agriculture",2051,"global","crover","gfdl-esm4","ssp126","soybean",17.1494711695566
"agriculture",2051,"global","crover","gfdl-esm4","ssp126","rice",3.38336105148477
"agriculture",2052,"global","crover","gfdl-esm4","ssp126","maize",-1.46625729427859
"agriculture",2052,"global","crover","gfdl-esm4","ssp126","wheat",6.42693048448492
"agriculture",2052,"global","crover","gfdl-esm4","ssp126","soybean",10.8330896279417
"agriculture",2052,"global","crover","gfdl-esm4","ssp126","rice",4.59173925241572
"agriculture",2053,"global","crover","gfdl-esm4","ssp126","maize",-0.879625434917131
"agriculture",2053,"global","crover","gfdl-esm4","ssp126","wheat",8.56065307920092
