"regions","spatial_scale","climates","type","probas","time_window"
"American Samoa","regions","gfdl-esm4 ssp585","at_least_one_5_up_down",0,30
"American Samoa","regions","gfdl-esm4 ssp585","at_least_one_10_up_down",0,30
"American Samoa","regions","gfdl-esm4 ssp585","at_least_one_25_up_down",0,30
"American Samoa","regions","gfdl-esm4 ssp585","at_least_two_5_down",0.75,30
"American Samoa","regions","gfdl-esm4 ssp585","at_least_two_10_down",0.5,30
"American Samoa","regions","gfdl-esm4 ssp585","at_least_two_25_down",0,30
"American Samoa","regions","gfdl-esm4 ssp585","at_least_three_5_down",NA,30
"American Samoa","regions","gfdl-esm4 ssp585","at_least_three_10_down",NA,30
"American Samoa","regions","gfdl-esm4 ssp585","at_least_three_25_down",NA,30
"American Samoa","regions","ipsl-cm6a-lr ssp126","at_least_one_5_up_down",0,30
"American Samoa","regions","ipsl-cm6a-lr ssp126","at_least_one_10_up_down",0,30
"American Samoa","regions","ipsl-cm6a-lr ssp126","at_least_one_25_up_down",0,30
"American Samoa","regions","ipsl-cm6a-lr ssp126","at_least_two_5_down",0.0416749999999999,30
"American Samoa","regions","ipsl-cm6a-lr ssp126","at_least_two_10_down",-2.77555756156289e-17,30
"American Samoa","regions","ipsl-cm6a-lr ssp126","at_least_two_25_down",0,30
"American Samoa","regions","ipsl-cm6a-lr ssp126","at_least_three_5_down",NA,30
"American Samoa","regions","ipsl-cm6a-lr ssp126","at_least_three_10_down",NA,30
"American Samoa","regions","ipsl-cm6a-lr ssp126","at_least_three_25_down",NA,30
"American Samoa","regions","ipsl-cm6a-lr ssp585","at_least_one_5_up_down",0,30
"American Samoa","regions","ipsl-cm6a-lr ssp585","at_least_one_10_up_down",0,30
"American Samoa","regions","ipsl-cm6a-lr ssp585","at_least_one_25_up_down",0,30
"American Samoa","regions","ipsl-cm6a-lr ssp585","at_least_two_5_down",0.6667,30
"American Samoa","regions","ipsl-cm6a-lr ssp585","at_least_two_10_down",0.166675,30
"American Samoa","regions","ipsl-cm6a-lr ssp585","at_least_two_25_down",0,30
"American Samoa","regions","ipsl-cm6a-lr ssp585","at_least_three_5_down",NA,30
"American Samoa","regions","ipsl-cm6a-lr ssp585","at_least_three_10_down",NA,30
"American Samoa","regions","ipsl-cm6a-lr ssp585","at_least_three_25_down",NA,30
"Amsterdam and Saint Paul Islands","regions","gfdl-esm4 ssp126","at_least_one_5_up_down",0,30
"Amsterdam and Saint Paul Islands","regions","gfdl-esm4 ssp126","at_least_one_10_up_down",0,30
"Amsterdam and Saint Paul Islands","regions","gfdl-esm4 ssp126","at_least_one_25_up_down",0,30
"Amsterdam and Saint Paul Islands","regions","gfdl-esm4 ssp126","at_least_two_5_down",0,30
"Amsterdam and Saint Paul Islands","regions","gfdl-esm4 ssp126","at_least_two_10_down",-5.55111512312578e-17,30
"Amsterdam and Saint Paul Islands","regions","gfdl-esm4 ssp126","at_least_two_25_down",0,30
"Amsterdam and Saint Paul Islands","regions","gfdl-esm4 ssp126","at_least_three_5_down",NA,30
"Amsterdam and Saint Paul Islands","regions","gfdl-esm4 ssp126","at_least_three_10_down",NA,30
"Amsterdam and Saint Paul Islands","regions","gfdl-esm4 ssp126","at_least_three_25_down",NA,30
"Amsterdam and Saint Paul Islands","regions","gfdl-esm4 ssp585","at_least_one_5_up_down",0,30
"Amsterdam and Saint Paul Islands","regions","gfdl-esm4 ssp585","at_least_one_10_up_down",0,30
"Amsterdam and Saint Paul Islands","regions","gfdl-esm4 ssp585","at_least_one_25_up_down",0,30
"Amsterdam and Saint Paul Islands","regions","gfdl-esm4 ssp585","at_least_two_5_down",0.6667,30
"Amsterdam and Saint Paul Islands","regions","gfdl-esm4 ssp585","at_least_two_10_down",0.500025,30
"Amsterdam and Saint Paul Islands","regions","gfdl-esm4 ssp585","at_least_two_25_down",0,30
"Amsterdam and Saint Paul Islands","regions","gfdl-esm4 ssp585","at_least_three_5_down",NA,30
"Amsterdam and Saint Paul Islands","regions","gfdl-esm4 ssp585","at_least_three_10_down",NA,30
