"regions","climates","spans","at_least_one_shock","at_least_two_shocks","at_least_three_shocks","time_window"
"Cameroon","ipsl-cm6a-lr ssp126","shock_0.25",1,0.445582341170319,0.0134791509649186,30
"Cameroon","ipsl-cm6a-lr ssp585","shock_0.25",1,0.525491019469813,0.0236509396582468,30
"Canada","gfdl-esm4 ssp126","shock_0.25",0.998751644109561,0.584451005732608,0.0603162950399997,30
"Canada","gfdl-esm4 ssp585","shock_0.25",1,0.853519492480763,0.0996369844111152,30
"Canada","ipsl-cm6a-lr ssp126","shock_0.25",0.999999005375441,0.785199717031347,0.0416229248985117,30
"Canada","ipsl-cm6a-lr ssp585","shock_0.25",0.995192990503519,0.327666673924286,0.0147007042251305,30
"Cape Verde","gfdl-esm4 ssp126","shock_0.25",0.8125,0,NA,30
"Cape Verde","gfdl-esm4 ssp585","shock_0.25",0.875,0,NA,30
"Cape Verde","ipsl-cm6a-lr ssp126","shock_0.25",0.998744459080827,0.08335,NA,30
"Cape Verde","ipsl-cm6a-lr ssp585","shock_0.25",1,0,NA,30
"Central African Republic","gfdl-esm4 ssp126","shock_0.25",0.901129141709369,0.0695761943704818,0,30
"Central African Republic","gfdl-esm4 ssp585","shock_0.25",0.957546581600544,0.0403959599999999,0,30
"Central African Republic","ipsl-cm6a-lr ssp126","shock_0.25",0.979153585846808,0.132069393452103,0,30
"Central African Republic","ipsl-cm6a-lr ssp585","shock_0.25",1,0.54425358868783,0.0161583839999998,30
"Chad","gfdl-esm4 ssp126","shock_0.25",0.994747263337627,0.269764695416187,0.0111743197128515,30
"Chad","gfdl-esm4 ssp585","shock_0.25",0.999994596496614,0.681124605366507,0.0702153172600626,30
"Chad","ipsl-cm6a-lr ssp126","shock_0.25",1,0.883299440526437,0.320190882211592,30
"Chad","ipsl-cm6a-lr ssp585","shock_0.25",1,0.841085901193591,0.207572719709588,30
"Chile","gfdl-esm4 ssp126","shock_0.25",1,0.612027681223557,0.0505594977007614,30
"Chile","gfdl-esm4 ssp585","shock_0.25",1,0.639734088438383,0.0346655729849586,30
"Chile","ipsl-cm6a-lr ssp126","shock_0.25",0.969959063568029,0.25760672122515,0,30
"Chile","ipsl-cm6a-lr ssp585","shock_0.25",1,0.208304827380893,-2.22044604925031e-16,30
"China","gfdl-esm4 ssp126","shock_0.25",1,0.891257714244658,0.337386190140599,30
"China","gfdl-esm4 ssp585","shock_0.25",1,0.911545009699992,0.200156232554418,30
"China","ipsl-cm6a-lr ssp126","shock_0.25",0.999998720810008,0.892302621844385,0.255341445732027,30
"China","ipsl-cm6a-lr ssp585","shock_0.25",0.999999491379702,0.815375819791194,0.127676197277203,30
"Colombia","gfdl-esm4 ssp126","shock_0.25",1,0.849837008881958,0.28171143772513,30
"Colombia","gfdl-esm4 ssp585","shock_0.25",1,0.993249389047341,0.409448057663069,30
"Colombia","ipsl-cm6a-lr ssp126","shock_0.25",1,0.719865007920906,0.09003347471419,30
"Colombia","ipsl-cm6a-lr ssp585","shock_0.25",1,0.965780298340999,0.354072657742972,30
"Comores","gfdl-esm4 ssp126","shock_0.25",1,0.5,NA,30
"Comores","gfdl-esm4 ssp585","shock_0.25",1,0,NA,30
"Comores","ipsl-cm6a-lr ssp126","shock_0.25",0.988422916545143,0,NA,30
"Comores","ipsl-cm6a-lr ssp585","shock_0.25",1,0,NA,30
"Costa Rica","gfdl-esm4 ssp126","shock_0.25",1,0.431257139079351,0.0332984532812499,30
"Costa Rica","gfdl-esm4 ssp585","shock_0.25",1,0.604831645456692,0.037507486972003,30
"Costa Rica","ipsl-cm6a-lr ssp126","shock_0.25",1,0.788398526567272,0.118647443228577,30
"Costa Rica","ipsl-cm6a-lr ssp585","shock_0.25",1,0.765111673668575,0.118076066517603,30
"Croatia","gfdl-esm4 ssp126","shock_0.25",0.996522522693605,0.20215303604512,0.00363600000000008,30
"Croatia","gfdl-esm4 ssp585","shock_0.25",1,0.671475164548583,0.009066882158146,30
"Croatia","ipsl-cm6a-lr ssp126","shock_0.25",1,0.697856951269875,0.156435377288159,30
