"regions","climates","spans","at_least_two_shocks_down","at_least_three_shocks_down","time_window","at_least_one_shock_up_down","at_least_one_shock_up","at_least_one_shock_down","at_least_two_shocks_up","at_least_three_shocks_up"
"Nicaragua","gfdl-esm4 ssp126","0.75",0.4864227163642,0,30,0.162078898841541,0.623844187918112,1,0.01818,0
"Nicaragua","gfdl-esm4 ssp585","0.75",0.678361734245154,0.169689696,30,0.060806797325447,0.943543552559096,0.998805369055693,0.2508406912,0
"Nicaragua","ipsl-cm6a-lr ssp126","0.75",0.98324027340497,0.49825647522834,30,0.159191636518347,0.701246180546011,0.999999889554493,0.0282791919999998,0.00100989899999993
"Nicaragua","ipsl-cm6a-lr ssp585","0.75",0.29404189822886,0,30,0.551136,0.990520400154568,0.998135250245364,0.384567576808954,0
"Niger","gfdl-esm4 ssp126","0.75",0.0165256199999999,0,30,0.153520808,0.884386056151935,0.89288911072,0.140562760204631,0.00550798914599993
"Niger","gfdl-esm4 ssp585","0.75",0.411002474410926,0.0466259050171232,30,0.0991234333369619,0.865631827065013,1,0.113054190819473,0.00615107446739993
"Niger","ipsl-cm6a-lr ssp126","0.75",0.919345983856176,0.577655601082877,30,0.77994039264957,0.916183691070886,1,0.21724756231552,0.0161583839999998
"Niger","ipsl-cm6a-lr ssp585","0.75",0.377782769689652,0.0177759999999998,30,0.569163825921466,0.890320663072676,1,0.0995065637547934,0.00385208604017939
"Nigeria","gfdl-esm4 ssp126","0.75",0.1148730014764,0.00444399999999989,30,0.140943866755168,0.869698970868125,0.934730376397178,0.0485193899698695,0
"Nigeria","gfdl-esm4 ssp585","0.75",0.375681164846767,0.0130928760723598,30,0.502776511376177,0.939048082989046,1,0.21705167614276,0.0181455453283135
"Nigeria","ipsl-cm6a-lr ssp126","0.75",0.574906466825799,0.102439906197856,30,0.687961426869507,0.975951567706784,1,0.378419391780704,0.0793227281157
"Nigeria","ipsl-cm6a-lr ssp585","0.75",0.45283933008867,0.0381904926669119,30,0.154788497804447,0.958132784532471,1,0.163099264572282,0.006059394
"North Korea","gfdl-esm4 ssp126","0.75",0.172976885914933,0.00577987055825424,30,0.123150976615055,0.936149554206385,1,0.179395078868441,0
"North Korea","gfdl-esm4 ssp585","0.75",0.461368067002186,0.075581270667745,30,0.176619559578121,0.923671679564412,1,0.146489937556726,0.00908909099999988
"North Korea","ipsl-cm6a-lr ssp126","0.75",0.101290136259153,0.00165256199999986,30,0.14471894673863,0.937941118721722,0.932994581703449,0.0987564895280693,0.00165256199999997
"North Korea","ipsl-cm6a-lr ssp585","0.75",0.170869809451249,0.00284404121108961,30,0.23213843046837,0.975795255900795,1,0.25574013936774,0.0122500015660413
"Norway","gfdl-esm4 ssp126","0.75",0,0,30,0,0.7539625,1,0,0
"Norway","gfdl-esm4 ssp585","0.75",0,0,30,0.12448,0.89632,0.527608,0,0
"Norway","ipsl-cm6a-lr ssp126","0.75",0.01667,0,30,0.0783100000000001,0.844472224,0.83857963939352,0,0
"Norway","ipsl-cm6a-lr ssp585","0.75",0.0399999999999998,-2.22044604925031e-16,30,0.3473430323155,0.80869654519469,1,0.0494542221999997,-2.22044604925031e-16
"Oman","gfdl-esm4 ssp126","0.75",0.1,0,30,0.06124694,0.960647302911813,1,0.035725,0
"Oman","gfdl-esm4 ssp585","0.75",0,0,30,0,0.799198846180899,1,0,0
"Oman","ipsl-cm6a-lr ssp126","0.75",0.1429,0,30,0.2857,0.562734692259462,1,0,0
"Oman","ipsl-cm6a-lr ssp585","0.75",0.0517206135305999,0,30,0.1429,0.614515757048926,1,0,0
"Pakistan","gfdl-esm4 ssp126","0.75",0.13104287107645,0.00495768600000013,30,0.291256414943773,0.985382392437527,0.989575923463082,0.0893507231249999,0
"Pakistan","gfdl-esm4 ssp585","0.75",0.292083645792088,0,30,0.868719706035687,0.998063138339145,1,0.390716077233486,0.00734398552799997
"Pakistan","ipsl-cm6a-lr ssp126","0.75",0.367368921835395,0.0612270597299464,30,0.632643708292,0.969437800790466,1,0.422891750740435,0.0535834645680582
