"regions","climates","spans","at_least_two_shocks_down","at_least_three_shocks_down","time_window","at_least_one_shock_up_down","at_least_one_shock_up","at_least_one_shock_down"
966,"ipsl-cm6a-lr ssp126","0.5",0.0719472283447534,1.11022302462516e-16,30,0.464227801076363,0.9223831851065,1
966,"ipsl-cm6a-lr ssp585","0.5",0.342740635255408,0.0171422219403119,30,0.52965711984311,0.981375278743456,1
983,"gfdl-esm4 ssp126","0.5",0.0932560254158954,0,30,0.287061782923916,0.979728705267988,1
983,"gfdl-esm4 ssp585","0.5",0.788125593140238,0.180470290918116,30,0.3970272243947,0.992311052697267,0.999978826630102
983,"ipsl-cm6a-lr ssp126","0.5",0.471541572300821,0.00664821920592973,30,0.0854088616272514,0.898625803882568,1
983,"ipsl-cm6a-lr ssp585","0.5",0.202535822082693,0.00403959600000003,30,0.469514842715821,0.900410237567495,1
1009,"gfdl-esm4 ssp126","0.5",0.506332534474938,-2.22044604925031e-16,30,0.251922223835435,0.97573213655043,1
1009,"gfdl-esm4 ssp585","0.5",0.706621417606801,0.0260954703301282,30,0.505944459699315,0.987888189830849,0.99990058105577
1009,"ipsl-cm6a-lr ssp126","0.5",0.391776810790121,0.000826280999999929,30,0.149862958194255,0.951524961764022,1
1009,"ipsl-cm6a-lr ssp585","0.5",0.562490108907666,0.05241275840098,30,0.133036097861822,0.923793577126776,1
1026,"gfdl-esm4 ssp126","0.5",0.866454463815567,0.25982670418626,30,0.415618166944777,0.946139440475843,0.999966132602389
1026,"gfdl-esm4 ssp585","0.5",0.397413044744474,0.000826280999999929,30,0.54245014461699,0.993682136763366,1
1026,"ipsl-cm6a-lr ssp126","0.5",0.606488509480168,0.0461970293259906,30,0.224959796362339,0.976465902556003,1
1026,"ipsl-cm6a-lr ssp585","0.5",0.657242725064389,0.0694136841356314,30,0.219668536334936,0.87335874684587,1
1087,"gfdl-esm4 ssp126","0.5",0.878912998306971,0.31863469821704,30,0.161147794319935,0.77776764971909,0.999957369138514
1087,"gfdl-esm4 ssp585","0.5",0.959514210395512,0.71989747328816,30,0.483156312568524,0.993371899734287,1
1087,"ipsl-cm6a-lr ssp126","0.5",0.44314921102591,0.01818,30,0.362580931015572,0.943075255336376,1
1087,"ipsl-cm6a-lr ssp585","0.5",0.429763674056573,0.0268901283473276,30,0.203382116081633,0.942419205748987,0.998850010543698
1096,"gfdl-esm4 ssp126","0.5",0.823056349940007,0.380739259876545,30,0.491432157820344,0.942239227801194,0.999447291085729
1096,"gfdl-esm4 ssp585","0.5",0.783726878624013,0.116650332370943,30,0.675084440452447,0.999982758753756,1
1096,"ipsl-cm6a-lr ssp126","0.5",0.317226866920926,0.00386809425937129,30,0.479306917096481,0.97347345969095,1
1096,"ipsl-cm6a-lr ssp585","0.5",0.674156057074502,0.113338865935277,30,0.348633204288083,0.992385707789043,0.999943310065944
1097,"gfdl-esm4 ssp126","0.5",0.335081485025426,0.0211526143999775,30,0.190815590770419,0.886042973073695,0.996432129128966
1097,"gfdl-esm4 ssp585","0.5",0.397820474116039,0.014772206768834,30,0.551519049746398,0.984824213719169,1
1097,"ipsl-cm6a-lr ssp126","0.5",0.443770486557388,-2.22044604925031e-16,30,0.298628571205684,0.95426271256539,1
1097,"ipsl-cm6a-lr ssp585","0.5",0.637270565052404,0.0288030442445617,30,0.457826256566415,0.989841386389529,0.999855934278644
1098,"gfdl-esm4 ssp126","0.5",0.123572743846936,0,30,0.0768317459780683,0.727068039313611,0.939795841087501
1098,"gfdl-esm4 ssp585","0.5",0.837347031982883,0.199052186913046,30,0.359727024067997,0.985035264352399,1
1098,"ipsl-cm6a-lr ssp126","0.5",0.869941834296421,0.261518884028493,30,0.296085648545903,0.835485490713082,0.999996031125834
1098,"ipsl-cm6a-lr ssp585","0.5",0.894583516192165,0.307240449364646,30,0.608515953074848,0.995243253398326,1
1101,"gfdl-esm4 ssp126","0.5",0.241143290399891,0.0113839717016533,30,0.45940352662217,0.983821954631299,0.981868514269652
1101,"gfdl-esm4 ssp585","0.5",0.787221714652098,0.175306361070128,30,0.705129128680452,0.996737612624817,1
1101,"ipsl-cm6a-lr ssp126","0.5",0.64450908407117,0.11461951704612,30,0.272076698213332,0.929679382488136,1
1101,"ipsl-cm6a-lr ssp585","0.5",0.759561165176746,0.158017176121024,30,0.604797120376117,0.971045740880241,1
1111,"gfdl-esm4 ssp126","0.5",0.0444999999999999,0,30,0.20867567788288,0.776845798336,0.98809844257792
1111,"gfdl-esm4 ssp585","0.5",0.1457092,0.00399999999999978,30,0.148909947522766,0.89832536686684,0.980076326929465
1111,"ipsl-cm6a-lr ssp126","0.5",0.136,0,30,0.1355518,0.730979516680033,1
1111,"ipsl-cm6a-lr ssp585","0.5",0.440445194663689,0.0395412002559999,30,0.235135722457607,0.860539781446929,1
1115,"gfdl-esm4 ssp126","0.5",0.385063896397731,-4.44089209850063e-16,30,0.414785399189629,0.877841854632405,1
1115,"gfdl-esm4 ssp585","0.5",0.259330230144398,0.0132057425073842,30,0.328051187141024,0.938666530627441,1
1115,"ipsl-cm6a-lr ssp126","0.5",0.177580228691469,0.00100989899999993,30,0.136749645748358,0.915538546784241,1
1115,"ipsl-cm6a-lr ssp585","0.5",0.214507901298949,0.00977620743216134,30,0.483296527588785,0.97810428087476,1
1144,"gfdl-esm4 ssp126","0.5",0.172096,-2.22044604925031e-16,30,0.2462500021024,0.874475761564,0.987305005416448
