"regions","climates","at_least_two_shocks_down","at_least_three_shocks_down","time_window","at_least_one_shock_up_down"
"Cayman Islands","gfdl-esm4 ssp585",0,0,30,0
"Cayman Islands","ipsl-cm6a-lr ssp126",0,0,30,0
"Cayman Islands","ipsl-cm6a-lr ssp585",0,0,30,0
"Central African Republic","gfdl-esm4 ssp126",0.0246518819418077,0,30,0.0245841720480419
"Central African Republic","gfdl-esm4 ssp585",0.0410409538836154,-2.22044604925031e-16,30,0
"Central African Republic","ipsl-cm6a-lr ssp126",0.04545,0,30,0
"Central African Republic","ipsl-cm6a-lr ssp585",0.0909,0,30,0.221321000893684
"Ceuta","gfdl-esm4 ssp126",0,0,30,0
"Ceuta","gfdl-esm4 ssp585",0,0,30,0
"Ceuta","ipsl-cm6a-lr ssp126",0,0,30,0
"Ceuta","ipsl-cm6a-lr ssp585",0,0,30,0.04131405
"Chad","gfdl-esm4 ssp126",0.0683565745679999,0.00300435771599994,30,0.178581985656517
"Chad","gfdl-esm4 ssp585",0.349029502761545,0.0162829446572023,30,0.451774896907165
"Chad","ipsl-cm6a-lr ssp126",0.454645875013439,0.0313706591077214,30,0.57027737418473
"Chad","ipsl-cm6a-lr ssp585",0.38706829876479,0.0145949328081165,30,0.498025713053893
"Chafarinas Islands","gfdl-esm4 ssp126",0.04545,0,30,0
"Chafarinas Islands","gfdl-esm4 ssp585",0.03080003764275,0,30,0.062522732105311
"Chafarinas Islands","ipsl-cm6a-lr ssp126",0.0495814049999999,0.00206570249999993,30,0.045821412855
"Chafarinas Islands","ipsl-cm6a-lr ssp585",0.185660014851616,0.00550798914599993,30,0.21128374395701
"Chagos Archipelago","gfdl-esm4 ssp126",0,0,30,0.375
"Chagos Archipelago","gfdl-esm4 ssp585",0,0,30,0
"Chagos Archipelago","ipsl-cm6a-lr ssp126",0.16665,0,30,0
"Chagos Archipelago","ipsl-cm6a-lr ssp585",0,0,30,0
"Chile","gfdl-esm4 ssp126",0.34466938795238,0.0165256199999999,30,0.341291033171058
"Chile","gfdl-esm4 ssp585",0.236958604892003,0.00826280999999995,30,0.812364768049358
"Chile","ipsl-cm6a-lr ssp126",0.0165256199999999,0,30,0.0594710071143991
"Chile","ipsl-cm6a-lr ssp585",0.180413906397554,0,30,0.0320394666731053
"China","gfdl-esm4 ssp126",0.691037478068279,0.178684938025182,30,0.223770753578324
"China","gfdl-esm4 ssp585",0.279925221478206,0.0107040572145,30,0.0369459396209278
"China","ipsl-cm6a-lr ssp126",0.663910771090875,0.102174734989024,30,0.0506142218838577
"China","ipsl-cm6a-lr ssp585",0.496523133101492,0.0595640742729566,30,0.320884243509128
"Christmas Island","gfdl-esm4 ssp126",0.1875,0,30,0
"Christmas Island","gfdl-esm4 ssp585",0,0,30,0
"Christmas Island","ipsl-cm6a-lr ssp126",0,0,30,0
"Christmas Island","ipsl-cm6a-lr ssp585",0,0,30,0.1667
"Clipperton Island","gfdl-esm4 ssp126",0,0,30,0
"Clipperton Island","gfdl-esm4 ssp585",0,0,30,0
"Clipperton Island","ipsl-cm6a-lr ssp126",0,0,30,0
"Clipperton Island","ipsl-cm6a-lr ssp585",0,0,30,0
"Cocos Islands","gfdl-esm4 ssp126",0,0,30,0
"Cocos Islands","gfdl-esm4 ssp585",0,0,30,0
"Cocos Islands","ipsl-cm6a-lr ssp126",0,0,30,0
"Cocos Islands","ipsl-cm6a-lr ssp585",0,0,30,0
"Collectivity of Saint Martin","gfdl-esm4 ssp126",0,0,30,0
"Collectivity of Saint Martin","gfdl-esm4 ssp585",0,0,30,0
"Collectivity of Saint Martin","ipsl-cm6a-lr ssp126",0.0416749999999999,0,30,0.125025
"Collectivity of Saint Martin","ipsl-cm6a-lr ssp585",0.0416749999999999,0,30,0
"Colombia","gfdl-esm4 ssp126",0.664516796760184,0.14084432545747,30,0.350153893212209
"Colombia","gfdl-esm4 ssp585",0.94385831273864,0.4229478562888,30,0.873419757648215
"Colombia","ipsl-cm6a-lr ssp126",0.433841399875076,0.0226499869697373,30,0.367517510825146
"Colombia","ipsl-cm6a-lr ssp585",0.647349843526592,0.101285384911527,30,0.863512011808253
"Colombian Exclusive Economic Zone (Quitasueño)","gfdl-esm4 ssp126",0,0,30,0
"Colombian Exclusive Economic Zone (Quitasueño)","gfdl-esm4 ssp585",0,0,30,0
"Colombian Exclusive Economic Zone (Quitasueño)","ipsl-cm6a-lr ssp126",0,0,30,0
"Colombian Exclusive Economic Zone (Quitasueño)","ipsl-cm6a-lr ssp585",0,0,30,0
"Comores","gfdl-esm4 ssp126",0,0,30,0.375
"Comores","gfdl-esm4 ssp585",0,0,30,0
"Comores","ipsl-cm6a-lr ssp126",0,0,30,0
"Comores","ipsl-cm6a-lr ssp585",0,0,30,0
"Cook Islands","gfdl-esm4 ssp126",0,0,30,0
"Cook Islands","gfdl-esm4 ssp585",0,0,30,0
"Cook Islands","ipsl-cm6a-lr ssp126",0,0,30,0
"Cook Islands","ipsl-cm6a-lr ssp585",0,0,30,0
"Costa Rica","gfdl-esm4 ssp126",0.175268182595314,0.00075108942900004,30,0.113435161713
"Costa Rica","gfdl-esm4 ssp585",0.397467012947893,0.0246642674120765,30,0.216524211059282
"Costa Rica","ipsl-cm6a-lr ssp126",0.516185711872227,0.0150217885799999,30,0.104842976818404
"Costa Rica","ipsl-cm6a-lr ssp585",0.491039028576098,0.0219357224273866,30,0.358602921932396
"Croatia","gfdl-esm4 ssp126",0.675331995941038,0.0185913225000001,30,0.168280390278
"Croatia","gfdl-esm4 ssp585",0.129478010423084,0.00413140499999987,30,0.0479695280562465
"Croatia","ipsl-cm6a-lr ssp126",0.826219782737984,0.100783739712284,30,0.015774530571
"Croatia","ipsl-cm6a-lr ssp585",0.297578565291142,0,30,0.456968483270731
"Crozet Islands","gfdl-esm4 ssp126",0,0,30,0
"Crozet Islands","gfdl-esm4 ssp585",0,0,30,0.25
"Crozet Islands","ipsl-cm6a-lr ssp126",0,0,30,0.125025
"Crozet Islands","ipsl-cm6a-lr ssp585",0,0,30,0.041675
"Cuba","gfdl-esm4 ssp126",0,0,30,0.498752106594966
"Cuba","gfdl-esm4 ssp585",0.24940631142,0.0165256199999999,30,0.121301205444624
"Cuba","ipsl-cm6a-lr ssp126",0.0375336773932499,0,30,0.104812221710168
"Cuba","ipsl-cm6a-lr ssp585",0.0437809344625758,0.0013774104269999,30,0.509848954677022
"Curaçao","gfdl-esm4 ssp126",0,0,30,0
"Curaçao","gfdl-esm4 ssp585",0,0,30,0
"Curaçao","ipsl-cm6a-lr ssp126",0,0,30,0
"Curaçao","ipsl-cm6a-lr ssp585",0,0,30,0
"Cyprus","gfdl-esm4 ssp126",0.0661024799999999,0,30,0.117025504694456
"Cyprus","gfdl-esm4 ssp585",0.280043875343176,0.0165256199999997,30,0.16935009906601
"Cyprus","ipsl-cm6a-lr ssp126",0,0,30,0.203892667533853
"Cyprus","ipsl-cm6a-lr ssp585",0.16466936760973,0.00413140499999987,30,0.169371676744798
"Czech Republic","gfdl-esm4 ssp126",0.267390967015131,0.0232668482390892,30,0.01652562
"Czech Republic","gfdl-esm4 ssp585",0.296626682805731,0.0105017127580712,30,0.427200347726928
"Czech Republic","ipsl-cm6a-lr ssp126",0.312451837545568,0.0231604763951031,30,0.361890236394845
"Czech Republic","ipsl-cm6a-lr ssp585",0.283502700411971,0,30,0.205675150053243
"Democratic Republic of the Congo","gfdl-esm4 ssp126",0.382755116405825,0.00689642802813506,30,0.45608499096927
"Democratic Republic of the Congo","gfdl-esm4 ssp585",0.208015751233782,0.0135015573914282,30,0.023286251142
"Democratic Republic of the Congo","ipsl-cm6a-lr ssp126",0.06311118591502,0,30,0.185808105934377
"Democratic Republic of the Congo","ipsl-cm6a-lr ssp585",0.527742540144479,0.0250025035856404,30,0.338664918074116
"Denmark","gfdl-esm4 ssp126",0.20319530571,0,30,0.15858720533045
"Denmark","gfdl-esm4 ssp585",0.21074938,0.0144621899999999,30,0.1052380336851
"Denmark","ipsl-cm6a-lr ssp126",0.0650783695635585,0,30,0.129790300586338
"Denmark","ipsl-cm6a-lr ssp585",0.475278498520356,0,30,0.117539763445961
