"regions","climates","spans","at_least_one_shock","at_least_two_shocks","at_least_three_shocks","time_window"
1087,"ipsl-cm6a-lr ssp585","shock_0.25",0.999942165176883,0.596887066477865,0.0634486620650557,30
1096,"gfdl-esm4 ssp126","shock_0.25",0.999963241462728,0.927674527496847,0.566162510740392,30
1096,"gfdl-esm4 ssp585","shock_0.25",1,0.994370305246833,0.54607818243828,30
1096,"ipsl-cm6a-lr ssp126","shock_0.25",1,0.585630284432437,0.0292586060753925,30
1096,"ipsl-cm6a-lr ssp585","shock_0.25",0.999999911467859,0.888610250778129,0.209634160640693,30
1097,"gfdl-esm4 ssp126","shock_0.25",0.999533715396877,0.431269509317456,0.0201510371573653,30
1097,"gfdl-esm4 ssp585","shock_0.25",1,0.830634231412831,0.118655890884722,30
1097,"ipsl-cm6a-lr ssp126","shock_0.25",1,0.672497051106884,0.0418179912553872,30
1097,"ipsl-cm6a-lr ssp585","shock_0.25",0.999999571253972,0.803315496687046,0.0984782925506511,30
1098,"gfdl-esm4 ssp126","shock_0.25",0.996658822240848,0.311529152862385,0.00856623603617968,30
1098,"gfdl-esm4 ssp585","shock_0.25",1,0.935438121436731,0.277944002664275,30
1098,"ipsl-cm6a-lr ssp126","shock_0.25",0.9999998457802,0.964426269859328,0.456875439023964,30
1098,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.960685559902765,0.431424536495582,30
1101,"gfdl-esm4 ssp126","shock_0.25",0.999874944020761,0.712604018083533,0.156828061755644,30
1101,"gfdl-esm4 ssp585","shock_0.25",1,0.968479018504034,0.355425903951735,30
1101,"ipsl-cm6a-lr ssp126","shock_0.25",1,0.830136669731008,0.162129065745787,30
1101,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.925151947252336,0.325851644264189,30
1111,"gfdl-esm4 ssp126","shock_0.25",0.999103639641035,0.348704261631999,0.0149499999999995,30
1111,"gfdl-esm4 ssp585","shock_0.25",0.997976090018285,0.22790263037839,0.00349749999999938,30
1111,"ipsl-cm6a-lr ssp126","shock_0.25",1,0.31785510448,0.0199999999999997,30
1111,"ipsl-cm6a-lr ssp585","shock_0.25",0.999717998789769,0.524905678904668,0.028093939483724,30
1115,"gfdl-esm4 ssp126","shock_0.25",1,0.664402885274336,0.105869376918655,30
1115,"gfdl-esm4 ssp585","shock_0.25",1,0.596442388446809,0.0264384384401393,30
1115,"ipsl-cm6a-lr ssp126","shock_0.25",1,0.36463738168383,0.0124671042952766,30
1115,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.821516088539698,0.116680386812038,30
1144,"gfdl-esm4 ssp126","shock_0.25",0.998776169323226,0.537176170915102,0.0806199999999992,30
1144,"gfdl-esm4 ssp585","shock_0.25",0.996626816697142,0.135389283738399,0.00349749999999982,30
1144,"ipsl-cm6a-lr ssp126","shock_0.25",1,0.230279689123297,0.00666599999999928,30
1144,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.560463612813164,0.0295276659189369,30
1145,"gfdl-esm4 ssp126","shock_0.25",0.999282911712828,0.47665891036864,0.0346509999999995,30
1145,"gfdl-esm4 ssp585","shock_0.25",1,0.307305334520888,0.00748350999999947,30
1145,"ipsl-cm6a-lr ssp126","shock_0.25",0.993573865934303,0.194661742555912,0.00599199999999922,30
1145,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.686551547050886,0.11049869838093,30
1170,"gfdl-esm4 ssp126","shock_0.25",0.999996165500578,0.943408226686669,0.38190047567105,30
1170,"gfdl-esm4 ssp585","shock_0.25",0.999740657697073,0.478376382818182,0.0512221467178099,30
1170,"ipsl-cm6a-lr ssp126","shock_0.25",0.99953033693761,0.541909896458857,0.0540009856943647,30
1170,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.996609025384245,0.742767565235007,30
1173,"gfdl-esm4 ssp126","shock_0.25",1,0.457582197417078,0.0145630632177548,30
1173,"gfdl-esm4 ssp585","shock_0.25",1,0.485422963668879,0.015314700927633,30
1173,"ipsl-cm6a-lr ssp126","shock_0.25",1,0.334175911836128,0.00340656157102237,30
1173,"ipsl-cm6a-lr ssp585","shock_0.25",1,0.591901180853803,0.0271155567746738,30
4,"gfdl-esm4 ssp126","shock_0.5",0.999997049166699,0.90939678770135,0.48352698953626,30
4,"gfdl-esm4 ssp585","shock_0.5",1,0.930051598122834,0.232649547240892,30
4,"ipsl-cm6a-lr ssp126","shock_0.5",0.998757477801735,0.55898460869316,0.0784578892292191,30
4,"ipsl-cm6a-lr ssp585","shock_0.5",1,0.970995459115549,0.385442190825445,30
6,"gfdl-esm4 ssp126","shock_0.5",1,0.801348953099199,0.176202416727104,30
6,"gfdl-esm4 ssp585","shock_0.5",1,0.909860838256372,0.271810484037062,30
6,"ipsl-cm6a-lr ssp126","shock_0.5",1,0.873732007020277,0.276934479397939,30
