"regions","climates","spans","at_least_half_shocks","at_least_half_bis_shocks","time_window"
"Ecuador","ipsl-cm6a-lr ssp585","shock_0.25",0.953933512500958,0.953933512500958,30
"Egypt","gfdl-esm4 ssp126","shock_0.25",0.116254760782248,0.116254760782248,30
"Egypt","gfdl-esm4 ssp585","shock_0.25",0.32175504109513,0.32175504109513,30
"Egypt","ipsl-cm6a-lr ssp126","shock_0.25",0.445082183914292,0.445082183914292,30
"Egypt","ipsl-cm6a-lr ssp585","shock_0.25",0.0243497049060306,0.0243497049060306,30
"El Salvador","gfdl-esm4 ssp126","shock_0.25",0.106763723233147,0.106763723233147,30
"El Salvador","gfdl-esm4 ssp585","shock_0.25",0.433199353902301,0.433199353902301,30
"El Salvador","ipsl-cm6a-lr ssp126","shock_0.25",0.266345667653354,0.266345667653354,30
"El Salvador","ipsl-cm6a-lr ssp585","shock_0.25",0.583808632714121,0.583808632714121,30
"Equatorial Guinea","gfdl-esm4 ssp126","shock_0.25",0.845038223125,0.99162621693193,30
"Equatorial Guinea","gfdl-esm4 ssp585","shock_0.25",0.318175,0.926758114567284,30
"Equatorial Guinea","ipsl-cm6a-lr ssp126","shock_0.25",0,0.764065311886089,30
"Equatorial Guinea","ipsl-cm6a-lr ssp585","shock_0.25",0,0.617197774618557,30
"Eritrea","gfdl-esm4 ssp126","shock_0.25",0.400698292301412,0.400698292301412,30
"Eritrea","gfdl-esm4 ssp585","shock_0.25",0.863557033628396,0.863557033628396,30
"Eritrea","ipsl-cm6a-lr ssp126","shock_0.25",0.4052670203956,0.4052670203956,30
"Eritrea","ipsl-cm6a-lr ssp585","shock_0.25",0.0995259956959997,0.0995259956959997,30
"Estonia","gfdl-esm4 ssp126","shock_0.25",0.0406451263217293,0.305640809809225,30
"Estonia","gfdl-esm4 ssp585","shock_0.25",0.0034718749999999,0.153336674059175,30
"Estonia","ipsl-cm6a-lr ssp126","shock_0.25",0.0929659297499996,0.418119216728438,30
"Estonia","ipsl-cm6a-lr ssp585","shock_0.25",0.0234213832750091,0.323631056877831,30
"Ethiopia","gfdl-esm4 ssp126","shock_0.25",0.0383340389807845,0.0383340389807845,30
"Ethiopia","gfdl-esm4 ssp585","shock_0.25",0.109533315347019,0.109533315347019,30
"Ethiopia","ipsl-cm6a-lr ssp126","shock_0.25",0.133081345343101,0.397561647482447,30
"Ethiopia","ipsl-cm6a-lr ssp585","shock_0.25",0.238294998424791,0.72921190748669,30
"Federal Republic of Somalia","gfdl-esm4 ssp126","shock_0.25",0.0357733523187589,0.290062217582164,30
"Federal Republic of Somalia","gfdl-esm4 ssp585","shock_0.25",0.0246227165546,0.297777886539878,30
"Federal Republic of Somalia","ipsl-cm6a-lr ssp126","shock_0.25",0.118631132659007,0.53855607706413,30
"Federal Republic of Somalia","ipsl-cm6a-lr ssp585","shock_0.25",0.0214013771650851,0.308254009956427,30
"Fiji","gfdl-esm4 ssp126","shock_0.25",0.4,0.4,30
"Fiji","gfdl-esm4 ssp585","shock_0.25",1,1,30
"Fiji","ipsl-cm6a-lr ssp126","shock_0.25",1,1,30
"Fiji","ipsl-cm6a-lr ssp585","shock_0.25",0.97942798320989,0.97942798320989,30
"Finland","gfdl-esm4 ssp126","shock_0.25",0.156079962331868,0.156079962331868,30
"Finland","gfdl-esm4 ssp585","shock_0.25",0.1706808444588,0.1706808444588,30
"Finland","ipsl-cm6a-lr ssp126","shock_0.25",0.175724527710137,0.175724527710137,30
"Finland","ipsl-cm6a-lr ssp585","shock_0.25",0.09560634833151,0.09560634833151,30
"France","gfdl-esm4 ssp126","shock_0.25",0.349357778837023,0.349357778837023,30
"France","gfdl-esm4 ssp585","shock_0.25",0.176004172339291,0.176004172339291,30
"France","ipsl-cm6a-lr ssp126","shock_0.25",0.0204554364003434,0.0204554364003434,30
"France","ipsl-cm6a-lr ssp585","shock_0.25",0.406565482018998,0.406565482018998,30
"Gabon","gfdl-esm4 ssp126","shock_0.25",0.414591858688977,0.685266946772098,30
"Gabon","gfdl-esm4 ssp585","shock_0.25",0.042343887177815,0.49612789797705,30
"Gabon","ipsl-cm6a-lr ssp126","shock_0.25",0.0386970653886396,0.328161334468984,30
"Gabon","ipsl-cm6a-lr ssp585","shock_0.25",0.0231664832405878,0.255355382326883,30
"Gambia","gfdl-esm4 ssp126","shock_0.25",0.311544785617877,0.311544785617877,30
"Gambia","gfdl-esm4 ssp585","shock_0.25",0.239226867559335,0.239226867559335,30
"Gambia","ipsl-cm6a-lr ssp126","shock_0.25",0.646717900042669,0.646717900042669,30
"Gambia","ipsl-cm6a-lr ssp585","shock_0.25",0.509755312616361,0.509755312616361,30
"Georgia","gfdl-esm4 ssp126","shock_0.25",0.0607434709999999,0.228450681758677,30
"Georgia","gfdl-esm4 ssp585","shock_0.25",0.00826280999999995,0.138809548966372,30
"Georgia","ipsl-cm6a-lr ssp126","shock_0.25",0.00165256199999975,0.0952265380539128,30
"Georgia","ipsl-cm6a-lr ssp585","shock_0.25",0.0469535111787227,0.40837525258863,30
"Germany","gfdl-esm4 ssp126","shock_0.25",0.00599999999999978,0.226677494213158,30
"Germany","gfdl-esm4 ssp585","shock_0.25",0.106670536259494,0.504079957855034,30
"Germany","ipsl-cm6a-lr ssp126","shock_0.25",0.0535947076023996,0.295981296669017,30
"Germany","ipsl-cm6a-lr ssp585","shock_0.25",0.162418311995922,0.488554442132497,30
"Ghana","gfdl-esm4 ssp126","shock_0.25",0.0600839920048994,0.0600839920048994,30
"Ghana","gfdl-esm4 ssp585","shock_0.25",0.556920282326009,0.556920282326009,30
"Ghana","ipsl-cm6a-lr ssp126","shock_0.25",0.68669551475237,0.68669551475237,30
"Ghana","ipsl-cm6a-lr ssp585","shock_0.25",0.484458757182775,0.484458757182775,30
"Grand Duchy of Luxembourg","gfdl-esm4 ssp126","shock_0.25",0.0964111186812642,0.788323696698843,30
"Grand Duchy of Luxembourg","gfdl-esm4 ssp585","shock_0.25",0.292188100973445,0.969330430153811,30
"Grand Duchy of Luxembourg","ipsl-cm6a-lr ssp126","shock_0.25",0.2099876032,0.957994016801597,30
"Grand Duchy of Luxembourg","ipsl-cm6a-lr ssp585","shock_0.25",0.142509808997034,0.948187612108297,30
"Greece","gfdl-esm4 ssp126","shock_0.25",0.0329003538031039,0.417753145268554,30
"Greece","gfdl-esm4 ssp585","shock_0.25",0.0976855195896926,0.563725069214642,30
"Greece","ipsl-cm6a-lr ssp126","shock_0.25",0.0178607607275206,0.303879274978203,30
"Greece","ipsl-cm6a-lr ssp585","shock_0.25",0.043101251070727,0.565691140258359,30
"Grenada","gfdl-esm4 ssp126","shock_0.25",0.9765625,0.9765625,30
"Grenada","gfdl-esm4 ssp585","shock_0.25",1,1,30
"Grenada","ipsl-cm6a-lr ssp126","shock_0.25",0.989828694612631,0.989828694612631,30
"Grenada","ipsl-cm6a-lr ssp585","shock_0.25",0.4792083325,0.4792083325,30
"Guatemala","gfdl-esm4 ssp126","shock_0.25",0.0611491699197854,0.0611491699197854,30
"Guatemala","gfdl-esm4 ssp585","shock_0.25",0.435660444942204,0.435660444942204,30
"Guatemala","ipsl-cm6a-lr ssp126","shock_0.25",0.283806537189768,0.283806537189768,30
"Guatemala","ipsl-cm6a-lr ssp585","shock_0.25",0.639898099899241,0.639898099899241,30
"Guinea","gfdl-esm4 ssp126","shock_0.25",0.2175699992,0.512373132617526,30
"Guinea","gfdl-esm4 ssp585","shock_0.25",0.00906869308019564,0.213026689252743,30
"Guinea","ipsl-cm6a-lr ssp126","shock_0.25",0.242828195449706,0.727194824536166,30
"Guinea","ipsl-cm6a-lr ssp585","shock_0.25",0.195078952706772,0.547899227304531,30
"Guinea-Bissau","gfdl-esm4 ssp126","shock_0.25",0.378434838875879,0.378434838875879,30
